,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
37,50,management,married,tertiary,no,11528,yes,no,unknown,30,may,57,1,-1,0,unknown,no
38,32,management,married,tertiary,no,0,no,no,unknown,9,may,280,1,-1,0,unknown,no
39,59,retired,divorced,secondary,no,914,no,no,cellular,28,jan,192,1,-1,0,unknown,no
40,50,management,married,tertiary,no,-151,yes,no,cellular,18,nov,63,2,-1,0,unknown,no
41,30,admin.,single,secondary,no,69,yes,no,cellular,17,apr,997,1,-1,0,unknown,yes
42,36,management,divorced,tertiary,yes,36,no,no,cellular,6,aug,836,4,-1,0,unknown,yes
43,39,technician,divorced,secondary,no,1270,yes,no,unknown,29,may,245,4,-1,0,unknown,no
44,52,housemaid,married,primary,no,3798,yes,no,cellular,17,jul,1208,1,-1,0,unknown,yes
45,30,management,single,tertiary,no,398,no,no,cellular,30,apr,554,1,6,2,success,yes
46,27,technician,single,secondary,no,489,yes,no,cellular,30,jul,356,4,-1,0,unknown,yes
47,37,admin.,married,secondary,no,1967,no,no,telephone,27,oct,376,1,-1,0,unknown,yes
48,38,blue-collar,married,secondary,no,0,no,no,unknown,20,jun,152,5,-1,0,unknown,no
49,45,unemployed,married,primary,no,0,yes,no,cellular,2,feb,570,2,-1,0,unknown,no
50,32,blue-collar,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,yes
51,28,blue-collar,married,primary,no,254,yes,no,cellular,20,apr,149,2,-1,0,unknown,no
52,47,blue-collar,married,primary,no,475,yes,yes,cellular,29,jan,99,2,251,7,other,no
53,37,technician,married,unknown,no,189,no,no,cellular,16,jun,162,2,-1,0,unknown,yes
54,37,admin.,married,secondary,no,1283,yes,no,unknown,20,may,209,1,-1,0,unknown,no
55,46,technician,married,unknown,no,3308,no,no,cellular,28,jul,219,2,-1,0,unknown,yes
56,30,self-employed,single,tertiary,no,655,no,no,cellular,23,sep,272,4,184,1,success,yes
57,38,technician,married,secondary,no,1478,no,no,cellular,12,aug,926,4,-1,0,unknown,yes
58,29,blue-collar,married,secondary,no,162,yes,no,cellular,15,jul,126,3,-1,0,unknown,no
59,35,technician,single,secondary,no,183,no,no,cellular,1,sep,516,2,130,2,failure,no
60,30,management,single,tertiary,no,536,no,no,cellular,2,jul,309,1,-1,0,unknown,yes
61,69,retired,married,primary,no,324,no,no,cellular,4,feb,136,4,-1,0,unknown,yes
62,38,blue-collar,married,secondary,no,-367,yes,yes,cellular,12,may,354,1,-1,0,unknown,no
63,50,management,married,tertiary,no,0,no,no,cellular,10,aug,232,3,130,3,other,no
64,44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,11,nov,172,1,91,5,success,yes
65,41,services,married,secondary,no,2399,yes,no,cellular,15,may,303,2,351,2,failure,no
66,35,admin.,married,secondary,no,0,yes,no,cellular,20,apr,18,5,-1,0,unknown,no
67,30,technician,single,secondary,no,298,yes,no,unknown,16,may,164,2,-1,0,unknown,no
68,74,retired,married,secondary,no,9480,no,no,cellular,21,apr,211,1,-1,0,unknown,yes
69,47,housemaid,married,secondary,yes,-1531,yes,no,cellular,31,jul,156,8,-1,0,unknown,no
70,34,blue-collar,married,secondary,no,1257,yes,no,unknown,26,may,109,7,-1,0,unknown,no
71,29,management,married,tertiary,no,247,no,no,cellular,16,sep,143,2,587,3,failure,yes
72,31,management,divorced,tertiary,no,71,no,no,cellular,12,mar,119,1,-1,0,unknown,yes
73,33,management,married,secondary,no,369,no,no,cellular,11,feb,446,1,-1,0,unknown,yes
74,26,blue-collar,single,secondary,no,786,yes,yes,unknown,14,may,103,5,-1,0,unknown,no
75,40,admin.,divorced,secondary,no,221,yes,no,unknown,13,may,154,2,-1,0,unknown,no
76,30,management,married,tertiary,no,419,yes,no,cellular,4,jun,194,1,-1,0,unknown,yes
77,46,entrepreneur,married,tertiary,no,4726,yes,no,cellular,8,apr,405,1,-1,0,unknown,no
78,25,technician,married,tertiary,no,839,yes,no,cellular,18,may,700,3,-1,0,unknown,yes
79,41,technician,single,tertiary,no,431,no,no,cellular,22,oct,133,1,107,2,success,yes
80,57,technician,married,secondary,no,295,no,no,cellular,19,aug,151,11,-1,0,unknown,no
81,23,technician,single,secondary,no,283,yes,no,cellular,22,sep,175,1,184,2,success,yes
82,39,entrepreneur,married,tertiary,no,2644,yes,no,unknown,20,may,253,1,-1,0,unknown,no
83,54,retired,divorced,tertiary,no,349,yes,no,cellular,12,may,176,2,175,1,failure,no
84,51,technician,married,secondary,no,100,no,no,cellular,2,feb,467,2,-1,0,unknown,yes
85,41,services,married,unknown,no,1538,no,no,cellular,29,jul,710,2,-1,0,unknown,yes
86,31,technician,married,secondary,no,-160,yes,no,cellular,14,jul,126,6,-1,0,unknown,no
87,28,self-employed,single,tertiary,no,159,no,no,cellular,14,oct,246,2,420,2,other,yes
88,27,services,single,secondary,no,194,yes,no,unknown,16,may,326,1,-1,0,unknown,no
89,26,unemployed,single,secondary,no,111,no,no,cellular,9,jul,537,1,-1,0,unknown,yes
90,38,management,married,tertiary,no,76,yes,no,cellular,20,apr,167,2,287,3,failure,no
91,33,management,single,tertiary,no,952,yes,no,cellular,29,apr,1241,5,-1,0,unknown,yes
92,33,admin.,married,secondary,no,17,yes,no,cellular,13,may,74,1,351,1,failure,no
93,31,admin.,single,secondary,no,622,no,no,cellular,18,jul,420,1,-1,0,unknown,yes
94,22,blue-collar,single,secondary,no,682,no,no,cellular,5,jun,126,2,91,1,success,yes
95,49,blue-collar,married,secondary,no,1946,no,no,cellular,19,oct,192,1,95,1,success,yes
96,48,services,married,secondary,no,127,no,no,cellular,8,jul,117,1,-1,0,unknown,no
97,30,admin.,divorced,secondary,no,10,yes,no,cellular,18,jul,658,2,-1,0,unknown,yes
98,34,services,married,secondary,no,-451,yes,yes,cellular,23,jul,498,1,-1,0,unknown,no
99,71,retired,married,secondary,no,3,no,no,cellular,13,aug,1175,3,189,1,other,no
100,33,technician,single,tertiary,no,127,yes,no,cellular,6,apr,583,2,222,17,failure,yes
101,44,management,married,tertiary,no,1451,yes,no,cellular,5,feb,80,7,80,15,failure,no
102,35,technician,single,unknown,no,726,yes,no,cellular,5,may,163,1,-1,0,unknown,no
103,32,technician,married,tertiary,no,2976,yes,no,cellular,5,feb,783,1,175,5,failure,yes
104,58,management,married,tertiary,no,2183,yes,no,cellular,22,jul,209,1,-1,0,unknown,no
105,41,admin.,single,secondary,no,4464,yes,no,telephone,21,jul,1425,2,-1,0,unknown,no
106,57,blue-collar,married,primary,no,23,yes,no,telephone,31,jul,25,8,-1,0,unknown,no
107,33,services,married,secondary,no,386,no,no,cellular,12,nov,253,1,92,4,failure,yes
108,42,blue-collar,married,primary,no,205,yes,no,cellular,17,apr,582,1,-1,0,unknown,no
109,39,management,married,tertiary,no,119,yes,no,cellular,1,sep,265,2,476,4,success,yes
110,46,management,married,tertiary,no,3,no,no,cellular,18,aug,92,4,-1,0,unknown,no
111,23,student,single,secondary,no,8494,no,no,cellular,25,aug,158,2,-1,0,unknown,no
112,30,services,single,tertiary,no,-477,no,yes,cellular,21,aug,1532,2,-1,0,unknown,yes
113,27,student,single,tertiary,no,118,no,no,cellular,31,aug,160,3,98,1,failure,yes
114,27,student,single,tertiary,no,4869,yes,no,cellular,15,may,258,2,343,4,other,no
115,59,management,married,primary,no,2769,yes,no,cellular,19,nov,104,1,131,2,failure,no
116,59,technician,divorced,secondary,no,2,no,no,cellular,26,aug,164,2,-1,0,unknown,no
117,42,services,married,secondary,no,508,yes,no,unknown,30,may,70,1,-1,0,unknown,no
118,53,housemaid,married,unknown,no,0,no,no,cellular,22,aug,207,1,-1,0,unknown,no
119,26,management,single,secondary,no,2613,no,no,cellular,1,jun,326,1,-1,0,unknown,yes
120,31,unemployed,single,secondary,no,1214,no,no,cellular,4,feb,974,1,-1,0,unknown,yes
121,36,technician,married,secondary,no,-393,no,no,telephone,14,aug,119,4,-1,0,unknown,no
122,38,blue-collar,single,tertiary,no,2885,yes,no,unknown,20,jun,1422,10,-1,0,unknown,yes
123,37,technician,single,tertiary,no,197,no,no,cellular,13,may,234,1,87,3,success,yes
124,39,management,single,tertiary,no,0,yes,no,cellular,18,feb,224,3,-1,0,unknown,yes
125,42,entrepreneur,divorced,secondary,no,335,yes,no,cellular,12,may,580,1,-1,0,unknown,yes
126,48,admin.,married,secondary,no,0,yes,no,cellular,17,jul,109,4,-1,0,unknown,no
127,32,technician,single,tertiary,no,127,yes,no,cellular,27,aug,20,17,-1,0,unknown,no
128,44,management,married,tertiary,no,58,yes,no,cellular,14,jul,72,3,-1,0,unknown,no
129,60,technician,married,secondary,no,294,no,no,telephone,3,jun,206,4,-1,0,unknown,yes
130,49,retired,married,primary,no,-37,no,no,unknown,4,jul,191,2,-1,0,unknown,no
131,29,technician,single,secondary,no,316,yes,no,cellular,3,mar,156,1,-1,0,unknown,yes
132,25,admin.,single,secondary,no,483,no,yes,cellular,3,feb,189,1,-1,0,unknown,yes
133,50,technician,divorced,secondary,no,8016,no,no,cellular,17,jul,903,4,-1,0,unknown,no
134,57,retired,married,tertiary,no,0,yes,yes,unknown,28,may,648,1,-1,0,unknown,yes
135,67,housemaid,divorced,secondary,no,5275,no,no,cellular,13,aug,222,4,-1,0,unknown,yes
136,50,management,single,tertiary,no,490,no,no,cellular,14,aug,273,5,-1,0,unknown,no
137,35,management,married,tertiary,no,925,no,no,cellular,8,jun,200,4,-1,0,unknown,yes
138,53,blue-collar,married,secondary,no,3079,no,no,cellular,5,apr,759,1,-1,0,unknown,no
139,51,retired,married,tertiary,no,580,no,no,cellular,19,nov,694,2,-1,0,unknown,yes
140,42,blue-collar,married,secondary,no,1598,yes,yes,cellular,16,apr,1463,2,-1,0,unknown,yes
141,30,admin.,single,secondary,no,28,no,no,unknown,20,aug,107,1,-1,0,unknown,no
142,55,technician,married,secondary,no,3899,yes,no,telephone,28,jul,596,4,-1,0,unknown,yes
143,33,management,single,tertiary,no,2637,no,no,cellular,28,aug,583,17,-1,0,unknown,yes
144,40,services,married,secondary,no,1836,yes,no,cellular,12,may,750,2,-1,0,unknown,yes
145,60,retired,married,secondary,no,2060,no,no,cellular,26,mar,454,1,88,3,other,no
146,53,blue-collar,married,secondary,no,0,yes,no,cellular,7,may,407,2,-1,0,unknown,no
147,50,blue-collar,married,primary,no,5872,yes,no,cellular,5,may,762,3,-1,0,unknown,yes
148,46,management,married,tertiary,no,0,no,no,cellular,26,may,401,1,-1,0,unknown,no
149,29,blue-collar,married,primary,no,25,yes,no,unknown,4,jun,188,2,-1,0,unknown,no
150,21,student,single,tertiary,no,1258,no,no,cellular,7,jul,404,1,-1,0,unknown,no
151,43,blue-collar,married,secondary,no,917,yes,no,cellular,8,may,87,2,-1,0,unknown,no
152,51,services,married,secondary,no,-467,no,no,unknown,9,jun,216,5,-1,0,unknown,no
153,35,services,married,secondary,no,2918,no,yes,cellular,16,jul,815,2,407,3,success,yes
154,31,unemployed,single,secondary,no,284,yes,no,cellular,2,feb,855,1,-1,0,unknown,yes
155,50,admin.,married,tertiary,no,6574,no,no,cellular,8,sep,495,1,92,3,success,yes
156,42,admin.,married,secondary,no,437,yes,no,cellular,11,aug,120,3,190,1,failure,no
157,78,retired,married,unknown,no,4807,no,no,telephone,3,feb,892,2,104,4,success,yes
158,33,admin.,single,tertiary,no,2,no,no,cellular,29,jan,132,2,-1,0,unknown,no
159,32,blue-collar,married,secondary,no,320,yes,no,unknown,6,may,198,2,-1,0,unknown,no
160,53,technician,married,secondary,no,4930,no,yes,cellular,2,feb,228,2,-1,0,unknown,no
161,53,technician,married,secondary,no,8417,yes,no,unknown,14,may,435,1,-1,0,unknown,no
162,35,admin.,divorced,secondary,no,1224,yes,no,cellular,3,nov,187,1,-1,0,unknown,yes
163,25,technician,single,secondary,no,1847,no,no,cellular,26,may,137,2,-1,0,unknown,no
164,36,technician,married,secondary,no,22,no,no,unknown,6,jun,464,1,-1,0,unknown,no
165,52,unemployed,married,primary,no,1724,no,no,cellular,29,jan,73,1,-1,0,unknown,no
166,30,technician,married,tertiary,no,569,no,no,cellular,27,aug,976,12,-1,0,unknown,yes
167,26,blue-collar,single,secondary,no,78,no,no,telephone,28,jan,43,1,-1,0,unknown,no
168,39,blue-collar,married,primary,no,867,yes,no,unknown,7,may,481,1,-1,0,unknown,no
169,54,management,divorced,tertiary,no,496,no,no,cellular,13,jan,452,3,-1,0,unknown,yes
170,39,technician,single,unknown,no,75,no,no,unknown,6,jun,26,1,-1,0,unknown,no
171,59,management,divorced,tertiary,no,81,no,no,cellular,26,may,140,1,-1,0,unknown,no
172,49,entrepreneur,married,secondary,no,687,no,no,cellular,18,aug,65,6,-1,0,unknown,no
173,55,retired,married,tertiary,no,357,yes,no,cellular,11,aug,526,1,103,1,failure,no
174,39,technician,divorced,secondary,no,902,yes,no,cellular,10,feb,691,2,180,5,failure,yes
175,30,management,married,tertiary,no,944,no,no,cellular,29,oct,251,2,-1,0,unknown,yes
176,43,blue-collar,married,secondary,no,2160,no,no,cellular,8,sep,261,1,98,1,success,yes
177,48,admin.,married,unknown,no,3756,no,no,cellular,14,aug,65,10,-1,0,unknown,no
178,28,unknown,single,secondary,no,4465,no,no,cellular,28,jan,769,1,-1,0,unknown,yes
179,51,management,divorced,tertiary,no,93,yes,yes,cellular,6,may,221,1,-1,0,unknown,no
180,37,management,single,tertiary,no,698,no,no,cellular,8,sep,1081,2,-1,0,unknown,yes
181,31,services,single,secondary,no,900,yes,no,cellular,9,apr,221,2,140,6,failure,no
182,41,services,married,tertiary,no,881,no,no,cellular,30,oct,257,3,-1,0,unknown,yes
183,53,management,divorced,tertiary,no,2894,yes,no,cellular,5,may,163,1,-1,0,unknown,no
184,29,management,single,tertiary,no,572,no,no,cellular,16,dec,314,1,195,1,success,yes
185,41,blue-collar,married,secondary,no,0,yes,no,cellular,1,apr,625,2,-1,0,unknown,no
186,58,unemployed,married,secondary,no,610,yes,no,telephone,29,jul,246,2,-1,0,unknown,no
187,34,admin.,divorced,secondary,no,1085,no,no,cellular,11,mar,101,7,-1,0,unknown,yes
188,50,self-employed,married,secondary,no,5312,no,no,cellular,23,jul,106,3,-1,0,unknown,no
189,24,admin.,single,secondary,no,172,no,no,cellular,3,feb,114,1,-1,0,unknown,no
190,35,management,married,tertiary,no,4943,yes,no,cellular,18,nov,295,1,124,2,failure,no
191,32,management,single,tertiary,no,769,no,no,cellular,29,aug,695,2,-1,0,unknown,yes
192,38,services,divorced,primary,no,92,yes,yes,unknown,29,may,118,3,-1,0,unknown,no
193,55,management,married,tertiary,no,23189,yes,no,unknown,14,may,77,1,-1,0,unknown,no
194,42,technician,single,unknown,no,11115,no,no,cellular,10,aug,187,1,102,1,success,yes
195,33,management,married,tertiary,no,5,yes,no,unknown,7,aug,12,1,-1,0,unknown,no
196,34,management,single,tertiary,no,-578,yes,no,cellular,18,may,767,2,-1,0,unknown,yes
197,49,technician,married,tertiary,no,1235,no,no,cellular,13,aug,354,3,-1,0,unknown,yes
198,39,unemployed,married,tertiary,no,201,no,no,cellular,3,jun,699,1,119,1,failure,yes
199,31,blue-collar,single,secondary,yes,-575,yes,no,unknown,2,jun,153,9,-1,0,unknown,no
200,60,retired,married,tertiary,no,2557,yes,no,cellular,2,feb,415,1,-1,0,unknown,yes
201,37,blue-collar,married,secondary,no,2870,yes,no,unknown,6,jun,94,2,-1,0,unknown,no
202,58,self-employed,married,secondary,no,9994,no,no,cellular,10,jul,400,1,-1,0,unknown,no
203,37,services,single,primary,no,0,no,yes,cellular,6,feb,155,6,245,5,other,no
204,83,retired,married,tertiary,no,4761,no,no,telephone,8,mar,659,1,-1,0,unknown,yes
205,28,student,single,secondary,no,69,no,no,cellular,30,jan,532,2,-1,0,unknown,yes
206,36,blue-collar,single,secondary,no,2235,yes,no,cellular,20,nov,287,2,-1,0,unknown,no
207,51,blue-collar,married,primary,no,201,yes,no,cellular,17,jul,582,2,-1,0,unknown,yes
208,47,technician,married,secondary,no,335,no,no,cellular,4,may,417,1,76,1,success,yes
209,60,technician,divorced,secondary,no,-50,no,no,cellular,28,aug,433,12,-1,0,unknown,no
210,59,management,married,tertiary,yes,782,no,yes,cellular,13,aug,127,2,-1,0,unknown,no
211,60,retired,married,primary,no,6307,yes,no,unknown,11,jun,362,1,-1,0,unknown,no
212,23,student,single,secondary,no,794,no,no,cellular,26,jul,607,3,171,3,other,yes
213,43,management,married,tertiary,no,1336,yes,yes,cellular,27,may,82,2,309,1,failure,no
214,43,admin.,married,secondary,no,2,yes,yes,cellular,22,jul,254,1,-1,0,unknown,no
215,31,management,married,tertiary,no,6138,no,no,cellular,16,oct,154,2,119,5,failure,yes
216,30,management,single,tertiary,no,162,yes,no,unknown,20,may,186,4,-1,0,unknown,no
217,37,management,single,tertiary,no,3141,no,no,cellular,4,may,384,2,-1,0,unknown,yes
218,24,admin.,single,secondary,no,1052,no,no,cellular,30,apr,354,1,-1,0,unknown,yes
219,31,management,single,tertiary,no,2983,yes,no,cellular,2,jul,153,1,-1,0,unknown,no
220,43,technician,divorced,secondary,no,6835,no,no,cellular,19,nov,187,1,152,2,failure,no
221,29,admin.,single,secondary,no,209,no,no,cellular,5,feb,605,2,-1,0,unknown,no
222,87,retired,married,secondary,no,433,no,no,telephone,15,dec,150,1,-1,0,unknown,no
223,36,housemaid,single,tertiary,no,561,no,no,unknown,6,jun,274,2,-1,0,unknown,no
224,43,housemaid,single,primary,no,800,yes,no,cellular,13,may,902,1,-1,0,unknown,yes
225,57,retired,divorced,secondary,no,316,no,no,cellular,28,jan,935,2,-1,0,unknown,no
226,27,technician,married,secondary,no,-392,yes,no,cellular,23,jul,228,2,-1,0,unknown,yes
227,24,blue-collar,married,secondary,no,685,yes,no,unknown,26,may,896,3,-1,0,unknown,yes
228,34,technician,married,tertiary,no,127,no,no,cellular,3,jun,117,1,-1,0,unknown,yes
229,38,self-employed,single,tertiary,no,1612,yes,no,cellular,8,may,423,1,-1,0,unknown,yes
230,30,technician,single,secondary,no,930,no,no,cellular,2,jul,396,1,-1,0,unknown,yes
231,36,student,single,unknown,no,417,no,no,cellular,10,aug,304,1,181,1,success,yes
232,29,blue-collar,married,secondary,no,-28,yes,no,unknown,12,may,393,1,-1,0,unknown,no
233,37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown,yes
234,45,technician,married,secondary,no,2571,no,no,unknown,18,jun,146,2,-1,0,unknown,no
235,54,blue-collar,married,primary,no,244,yes,no,cellular,29,jul,337,2,-1,0,unknown,no
236,33,admin.,married,secondary,no,-370,yes,no,cellular,7,may,261,1,345,1,failure,yes
237,49,management,married,unknown,no,0,no,no,cellular,19,nov,99,2,-1,0,unknown,no
238,41,entrepreneur,married,secondary,no,30,no,no,cellular,30,apr,460,1,-1,0,unknown,yes
239,65,retired,married,primary,no,343,no,no,telephone,5,feb,159,2,-1,0,unknown,no
240,32,blue-collar,married,secondary,no,225,yes,no,cellular,17,apr,574,1,150,1,failure,yes
241,55,blue-collar,divorced,secondary,no,1613,yes,no,cellular,3,apr,296,1,270,3,failure,yes
242,43,self-employed,married,secondary,no,14144,yes,no,cellular,21,nov,504,1,-1,0,unknown,yes
243,27,management,single,tertiary,no,446,no,no,cellular,23,jun,205,3,-1,0,unknown,no
244,53,admin.,married,secondary,no,849,yes,no,cellular,6,feb,3102,3,-1,0,unknown,yes
245,28,management,single,tertiary,no,4013,yes,no,unknown,4,jun,386,1,-1,0,unknown,no
246,46,management,married,tertiary,no,699,no,no,cellular,2,feb,241,1,-1,0,unknown,no
247,45,technician,married,secondary,no,1412,yes,no,cellular,11,may,764,4,-1,0,unknown,no
248,37,services,married,secondary,no,1543,yes,no,cellular,16,feb,138,2,-1,0,unknown,yes
249,40,technician,married,secondary,no,40,yes,no,cellular,21,nov,73,1,-1,0,unknown,no
250,36,services,single,secondary,no,-253,yes,no,cellular,14,apr,1073,1,-1,0,unknown,yes
251,40,blue-collar,married,primary,no,0,yes,no,cellular,21,jul,1080,4,-1,0,unknown,yes
252,29,blue-collar,married,secondary,no,100,yes,yes,cellular,6,may,152,4,344,2,failure,no
253,39,blue-collar,married,secondary,no,171,yes,yes,cellular,8,may,153,1,353,1,failure,no
254,32,services,single,tertiary,no,945,no,no,cellular,20,nov,531,1,-1,0,unknown,yes
255,35,technician,divorced,secondary,no,84,yes,yes,cellular,6,may,954,1,-1,0,unknown,yes
256,60,admin.,single,secondary,no,473,no,no,cellular,5,feb,175,2,8,1,other,no
257,55,management,divorced,secondary,no,204,yes,no,cellular,11,jul,1973,2,-1,0,unknown,yes
258,41,blue-collar,married,primary,no,0,yes,yes,unknown,6,may,238,1,-1,0,unknown,no
259,57,retired,married,secondary,no,91,no,yes,unknown,3,jul,256,3,-1,0,unknown,no
260,37,technician,married,secondary,no,0,yes,no,cellular,16,apr,657,4,149,1,other,no
261,52,technician,married,secondary,no,475,yes,no,cellular,28,jul,121,3,-1,0,unknown,no
262,38,blue-collar,single,secondary,no,2580,yes,no,cellular,8,apr,1691,2,264,3,failure,yes
263,41,unemployed,single,tertiary,no,4517,yes,no,cellular,20,nov,137,1,-1,0,unknown,no
264,26,admin.,single,secondary,yes,0,yes,no,cellular,16,jul,157,2,-1,0,unknown,no
265,20,student,single,primary,no,6991,no,no,cellular,12,aug,178,2,-1,0,unknown,yes
266,35,technician,single,secondary,no,1693,yes,no,cellular,10,feb,515,1,-1,0,unknown,yes
267,59,admin.,married,secondary,no,2145,no,no,telephone,17,nov,273,2,-1,0,unknown,no
268,54,unemployed,divorced,secondary,no,1664,no,no,cellular,15,sep,106,1,105,3,success,yes
269,45,self-employed,single,primary,no,112,no,no,unknown,20,jun,298,4,-1,0,unknown,no
270,55,services,divorced,secondary,no,2166,yes,no,unknown,28,may,23,17,-1,0,unknown,no
271,32,management,single,tertiary,no,2360,no,no,cellular,3,feb,152,2,160,5,other,yes
272,38,management,married,tertiary,no,1199,no,no,cellular,4,aug,178,1,1,1,success,yes
273,60,management,married,tertiary,no,553,yes,no,cellular,2,feb,343,1,210,3,success,no
274,41,entrepreneur,married,primary,no,406,no,no,unknown,6,jun,272,1,-1,0,unknown,no
275,33,technician,single,tertiary,no,154,no,no,cellular,18,mar,159,2,-1,0,unknown,no
276,45,blue-collar,married,primary,no,1794,yes,no,unknown,14,may,174,2,-1,0,unknown,no
277,56,admin.,married,secondary,no,105,no,no,telephone,15,jul,80,2,-1,0,unknown,no
278,30,technician,single,secondary,no,1286,no,no,telephone,28,aug,44,12,-1,0,unknown,no
279,44,services,divorced,secondary,no,240,yes,no,unknown,8,may,155,2,-1,0,unknown,no
280,63,management,married,tertiary,no,3115,no,no,cellular,16,nov,432,5,-1,0,unknown,yes
281,32,management,divorced,tertiary,no,883,yes,no,cellular,10,dec,798,1,185,5,other,yes
282,59,retired,married,primary,no,-411,no,no,cellular,29,jan,225,1,-1,0,unknown,no
283,44,blue-collar,single,secondary,no,-435,yes,no,unknown,27,may,141,2,-1,0,unknown,no
284,31,technician,single,secondary,no,4105,no,no,cellular,30,apr,264,1,-1,0,unknown,no
285,44,blue-collar,married,secondary,no,88,yes,no,cellular,2,jul,275,1,-1,0,unknown,yes
286,37,unemployed,single,tertiary,no,1032,no,no,telephone,4,feb,63,1,-1,0,unknown,no
287,45,blue-collar,married,secondary,no,2071,no,yes,telephone,22,jul,1148,2,-1,0,unknown,no
288,36,blue-collar,single,secondary,no,478,yes,no,cellular,13,may,610,1,-1,0,unknown,yes
289,46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown,yes
290,30,services,married,secondary,no,3929,yes,no,cellular,20,nov,593,1,-1,0,unknown,yes
291,37,admin.,single,tertiary,no,1000,yes,no,cellular,22,sep,239,1,99,2,success,yes
292,36,admin.,single,secondary,no,0,yes,no,cellular,21,nov,139,2,-1,0,unknown,no
293,34,entrepreneur,single,tertiary,no,2945,yes,no,cellular,17,apr,266,1,-1,0,unknown,no
294,23,admin.,single,tertiary,no,314,no,yes,cellular,8,apr,142,4,-1,0,unknown,yes
295,31,technician,single,tertiary,no,53,no,no,cellular,28,jan,97,2,-1,0,unknown,no
